ptfi_term,label,group,obligation,datatype,occurrence,value_scheme,definition,allowed_values,examples,maps_to,match_type,curation_note,reconciliation_note
studyIdentifier,Study Identifier,Study,Required,string,unique,,Identifier for the overall study or project the sample belongs to.,,default-study; VanBuiten-BreadStudy-2022-wheat,dwc:datasetID,skos:exactMatch,"'default-study' if not part of a special study, otherwise the structured form. Treat as a human label, not the primary key.",
studyTags,Study Tags,Study,Optional,string,multiple,,Keywords describing the study's focus or characteristics.,,fermentation; post-harvest,dcterms:subject,skos:closeMatch,May be left blank.,
collectorName,Collector Name,Study,Required,string,multiple,,Full name(s) of the individual(s) who collected the specimen.,,Angela Fernando; Jane Doe; John Smith,dwc:recordedBy,skos:exactMatch,"Present, spell-checked, consistent formatting. Record multiple collectors as separate values.",
collectorOrganization,Collector Organization,Study,Required,string,unique,,Affiliated organisation or institution of the collector(s).,,"Prenni Lab, Colorado State University; Mahidol University, INMU",dwc:institutionCode,skos:closeMatch,Present and correctly spelled.,
specimenId,Specimen ID,Specimen,Curator-assigned,uuid,unique,UUID / GUID (RFC 9562),"Persistent, globally unique identifier minted when a specimen comes into being at collection. Should resolve via a PTFI base URL.",,PTFI:SPC:06809dc5-f143-459a,,,Assigned by the curator; the resolvable form anchors all downstream samples and aliquots.,
collectionDate,Collection Date,Specimen,Required,date,unique,ISO 8601-1,"Date the food was collected — harvest date for an agricultural product, or purchase date for food sourced at market.",,2024-03-15; 2025-09-02,dwc:eventDate,skos:exactMatch,Present and ISO 8601 formatted (YYYY-MM-DD).,
collectionLatitude,Collection Latitude,Specimen,Conditional,float,unique,ISO 6709 (WGS84),"Latitude of the collection site in decimal degrees, WGS84 datum.",,13.5215; 40.5853,dwc:decimalLatitude,skos:exactMatch,"Numeric, in range. If absent, query the collector. Round deliberately where the precise site is sensitive.",Datum and standard (ISO 6709 / WGS84) restored from the source; the site gave only a bare range.
collectionLongitude,Collection Longitude,Specimen,Conditional,float,unique,ISO 6709 (WGS84),"Longitude of the collection site in decimal degrees, WGS84 datum.",,99.9540; −105.0844,dwc:decimalLongitude,skos:exactMatch,"Numeric, in range. If absent, query the collector.",
collectionCountry,Collection Country,Specimen,Required,vocabulary encoding scheme,unique,ISO 3166-1 alpha-2,"Country where the food was collected, recorded once as an ISO 3166-1 alpha-2 code. The display name is derived from the code.",,TH; US; MX,dwc:countryCode,skos:exactMatch,Mandatory. Store the code canonically; do not also store the country name as a separate free-text field.,"Replaces the site's redundant Collection Location Level 0 (code) + Level 1 (name), which encoded the same country twice and could contradict."
collectionAdminArea,Collection Administrative Area,Specimen,Conditional,string,unique,ISO 3166-2,"Subnational administrative area of collection (state, region, province, or district). Use an ISO 3166-2 subdivision code where one exists; otherwise the named area.",,US-CO; Ratchaburi,dwc:stateProvince,skos:closeMatch,Add when known. Prefer the standard code so the level is comparable across countries.,"Replaces the site's free-text Levels 2–4, whose meaning shifted by country and was not comparable."
collectionLocality,Collection Locality,Specimen,Conditional,string,unique,GeoNames,"Most specific named place of collection — city, town, market, farm, or named site. A gazetteer identifier (GeoNames or Wikidata) is recommended for interoperability.",,Damnoen Saduak Floating Market; Fort Collins,dwc:locality,skos:exactMatch,Add when available; capture a gazetteer ID alongside free text where possible.,"Consolidates the site's Level 5 (which mixed neighbourhoods, markets, and farms) into one place field with a gazetteer recommendation."
specimenProductionType,Production Type,Specimen,Required,vocabulary encoding scheme,multiple,PTFI in-house vocabulary,Production system in which the specimen was produced.,conventional; organic; grain-fed; grass-fed; open field; hydroponic/aquaponic; greenhouse; farmed; wild; unknown; other,organic; greenhouse,,,"One or more values, lowercase.",Restored full vocabulary and multiple occurrence; the site had shortened the list and dropped open field / hydroponic / greenhouse.
specimenUnitType,Specimen Unit Type,Specimen,Required,vocabulary encoding scheme,unique,PTFI in-house vocabulary,Form in which the specimen was collected.,individual; group of individuals; liquid; unknown,individual; group of individuals,,,individual (e.g. 1 apple); group of individuals (e.g. a bag of rice); liquid (e.g. oil). Must be consistent with size and unit.,
specimenUnitSize,Specimen Unit Size,Specimen,Conditional,float,unique,,Number of individuals or amount of specimen collected.,,3; 150; 0.50,,,Positive value consistent with the unit (e.g. 3 apples; 150 g rice; 0.50 L oil). Leave blank if unknown.,
specimenUnitSizeUnit,Specimen Unit Size Unit,Specimen,Required,vocabulary encoding scheme,unique,Unit Ontology (UO),"Unit in which the specimen size is expressed, from the Unit Ontology — including count for individuals.",,gram [UO:0000021]; count [UO:0000189]; litre [UO:0000099],,,Use a UO term. 'count' covers individual items.,"Re-bound to the Unit Ontology. The site hardcoded g/kg/mL/L and had no count unit, contradicting its own 'individual' unit type."
specimenTemperature,Specimen Temperature at Collection,Specimen,Required,vocabulary encoding scheme,unique,PTFI in-house vocabulary,Temperature condition under which the specimen was stored at collection (e.g. flash-frozen in liquid nitrogen = controlled).,controlled; uncontrolled,controlled,,,"Select from the temperature vocabulary. Consider recording a cold-chain category or value where known, since thermal history drives composition.",
specimenProcurementType,Procurement Type,Specimen,Required,vocabulary encoding scheme,unique,PTFI in-house vocabulary,The kind of place where the specimen was procured.,field; fresh market; small grocery; supermarket; biobank; unknown; other,supermarket; field,,,Select one value from the procurement vocabulary.,"Restores the source's Procurement Type. The site renamed it ""Collection Type"" and conflated procurement channel with production method (wild/cultivated)."
specimenOriginLocation,Specimen Origin Location,Specimen,Required,vocabulary encoding scheme,unique,ISO 3166-1 alpha-2,"Country of origin of the specimen, which may differ from where it was collected (e.g. collected in a US supermarket, originating from MX).",,MX; PE,,,Present and logical; an ISO 3166-1 code in every row.,
specimenFoodProductName,Specimen Food Product Name,Specimen,Required,string,unique,,"Standardised food-product name for the specimen, aligned with FoodOn. Include the cultivar where known.",,gala apple; sweet corn,,,"Lowercase, typo-free. If a cultivar is known, include it (e.g. 'gala apple', not 'apple').",
